town,candidate,votes
Ipswich,No,4953.0
Raynham,No,4951.0
Burlington,Yes,4918.0
Uxbridge,No,4918.0
Harwich,No,4884.0
Wakefield,Yes,4846.0
Medway,No,4835.0
Chelsea,No,4809.0
Milford,Yes,4806.0
Agawam,Yes,4777.0
Canton,Yes,4769.0
Reading,Yes,4757.0
Wareham,Yes,4750.0
Duxbury,Yes,4735.0
Seekonk,No,4694.0
Millbury,No,4681.0
Sudbury,Yes,4651.0
Bourne,Yes,4638.0
Charlton,No,4599.0
Middleborough,Yes,4582.0
Bedford,No,4578.0
Oxford,No,4570.0
Mashpee,No,4556.0
Lynnfield,No,4508.0
Wayland,No,4479.0
Saugus,Yes,4478.0
Newburyport,Yes,4474.0
Mansfield,Yes,4392.0
Webster,No,4371.0
Clinton,No,4349.0
Bridgewater,Yes,4332.0
Medfield,No,4309.0
Rehoboth,No,4295.0
Mashpee,Yes,4268.0
Stoneham,Yes,4201.0
Wrentham,No,4142.0
Hanson,No,4106.0
Hudson,Yes,4061.0
Palmer,No,4041.0
Dennis,Yes,4031.0
Westwood,Yes,4031.0
Maynard,No,3959.0
Easton,Yes,3954.0
Lakeville,No,3947.0
Chelsea,Yes,3899.0
Hopkinton,Yes,3885.0
West Springfield,Yes,3879.0
Weston,Yes,3871.0
Norwell,No,3871.0
Wayland,Yes,3824.0
Grafton,Yes,3808.0
Leicester,No,3802.0
Pepperell,No,3793.0
North Adams,No,3781.0
Carver,No,3777.0
Longmeadow,Yes,3760.0
Sharon,Yes,3758.0
Westport,Yes,3744.0
Spencer,No,3704.0
Holbrook,No,3694.0
Dudley,No,3671.0
Groton,No,3671.0
Southbridge,No,3671.0
Brewster,No,3637.0
Pembroke,Yes,3627.0
Somerset,Yes,3581.0
Ipswich,Yes,3575.0
Swampscott,Yes,3572.0
Littleton,No,3560.0
Hull,No,3555.0
Westborough,Yes,3552.0
Lunenburg,No,3543.0
Sutton,No,3538.0
Holden,Yes,3520.0
Harwich,Yes,3510.0
Norfolk,No,3462.0
Acushnet,No,3459.0
Foxborough,Yes,3452.0
Northampton,Yes,3439.0
Winthrop,Yes,3419.0
Bellingham,Yes,3417.0
Northborough,Yes,3414.0
Rutland,No,3389.0
Douglas,No,3368.0
Nantucket,Yes,3360.0
Southwick,No,3353.0
Southborough,No,3346.0
Sturbridge,No,3311.0
Bedford,Yes,3279.0
Swansea,Yes,3260.0
East Longmeadow,Yes,3256.0
Medfield,Yes,3239.0
Gardner,Yes,3225.0
Athol,No,3207.0
Holliston,Yes,3189.0
Amherst,Yes,3188.0
Freetown,No,3186.0
North Reading,Yes,3183.0
Amesbury,Yes,3159.0
Rockland,Yes,3148.0
Fairhaven,Yes,3145.0
Ludlow,Yes,3133.0
Georgetown,No,3132.0
Ashland,Yes,3131.0
Montague,No,3124.0
Middleton,No,3092.0
Norton,Yes,3083.0
Millis,No,3063.0
Plainville,No,3047.0
Northbridge,Yes,3031.0
Westminster,No,3016.0
Brewster,Yes,3002.0
Groton,Yes,2997.0
Wilbraham,Yes,2994.0
Ware,No,2981.0
Hanover,Yes,2969.0
Sterling,No,2967.0
Monson,No,2958.0
Abington,Yes,2953.0
Townsend,No,2950.0
Nantucket,No,2947.0
Seekonk,Yes,2944.0
Pepperell,Yes,2937.0
Southbridge,Yes,2937.0
Halifax,No,2907.0
Blackstone,No,2905.0
Winchendon,No,2879.0
South Hadley,Yes,2844.0
Medway,Yes,2835.0
Rockport,No,2833.0
Lynnfield,Yes,2830.0
West Bridgewater,No,2822.0
Webster,Yes,2815.0
Hull,Yes,2797.0
Salisbury,No,2782.0
West Boylston,No,2782.0
Norwell,Yes,2779.0
Uxbridge,Yes,2759.0
Newbury,No,2750.0
Upton,No,2739.0
Adams,No,2737.0
Auburn,Yes,2699.0
Dighton,No,2676.0
Southampton,No,2673.0
Raynham,Yes,2641.0
Kingston,Yes,2640.0
Clinton,Yes,2629.0
Wilmington,Yes,2604.0
Boxford,No,2593.0
Southborough,Yes,2586.0
Charlton,Yes,2585.0
Weston,No,2585.0
Cohasset,Yes,2567.0
Rehoboth,Yes,2549.0
Groveland,No,2537.0
Norfolk,Yes,2528.0
Boxford,Yes,2523.0
Stow,No,2522.0
Granby,No,2501.0
Wrentham,Yes,2496.0
East Bridgewater,Yes,2480.0
Whitman,Yes,2477.0
Templeton,No,2474.0
Greenfield,Yes,2461.0
Lunenburg,Yes,2453.0
Great Barrington,No,2444.0
Carver,Yes,2434.0
Hamilton,No,2433.0
Millbury,Yes,2421.0
Lakeville,Yes,2419.0
Merrimac,No,2375.0
Rowley,No,2365.0
Dalton,No,2364.0
Hadley,No,2357.0
Cohasset,No,2353.0
Berkley,No,2348.0
Littleton,Yes,2341.0
Mattapoisett,No,2339.0
Oxford,Yes,2321.0
Chatham,Yes,2292.0
Easthampton,Yes,2290.0
Ayer,No,2269.0
Orleans,Yes,2260.0
Topsfield,No,2238.0
Hopedale,No,2237.0
Hamilton,Yes,2235.0
Lancaster,No,2235.0
Orleans,No,2223.0
Mendon,No,2213.0
Chatham,No,2212.0
Deerfield,No,2186.0
Townsend,Yes,2172.0
Belchertown,Yes,2170.0
Ashburnham,No,2170.0
Orange,No,2165.0
Williamstown,No,2152.0
Lee,No,2143.0
Rochester,No,2130.0
Dover,Yes,2109.0
Lenox,No,2081.0
Sturbridge,Yes,2059.0
Spencer,Yes,2045.0
Sutton,Yes,2038.0
Eastham,No,2032.0
Rockport,Yes,2020.0
Maynard,Yes,2008.0
Lincoln,Yes,1988.0
Palmer,Yes,1977.0
Middleton,Yes,1970.0
Barre,No,1965.0
Sterling,Yes,1959.0
Holbrook,Yes,1934.0
Hanson,Yes,1931.0
Hampden,No,1927.0
Shirley,No,1926.0
Acushnet,Yes,1914.0
Leicester,Yes,1914.0
Salisbury,Yes,1912.0
Millis,Yes,1908.0
Harvard,No,1897.0
Mattapoisett,Yes,1877.0
Stow,Yes,1872.0
Manchester,Yes,1851.0
North Adams,Yes,1843.0
Southwick,Yes,1841.0
Paxton,No,1838.0
Georgetown,Yes,1821.0
Upton,Yes,1817.0
Ayer,Yes,1808.0
Newbury,Yes,1805.0
Plainville,Yes,1798.0
Freetown,Yes,1773.0
Bolton,No,1773.0
Harvard,Yes,1769.0
Lincoln,No,1768.0
Topsfield,Yes,1744.0
Athol,Yes,1740.0
Marion,No,1732.0
Dudley,Yes,1727.0
Boxborough,No,1724.0
North Brookfield,No,1722.0
Boylston,No,1702.0
Lancaster,Yes,1699.0
Manchester,No,1689.0
Carlisle,No,1684.0
Winchendon,Yes,1671.0
Hubbardston,No,1671.0
Blackstone,Yes,1651.0
Carlisle,Yes,1620.0
Eastham,Yes,1609.0
Monson,Yes,1599.0
Hatfield,No,1599.0
Avon,No,1593.0
Oak Bluffs,No,1568.0
West Newbury,No,1562.0
Westminster,Yes,1544.0
Warren,No,1540.0
West Boylston,Yes,1530.0
Douglas,Yes,1521.0
Bolton,Yes,1516.0
Groveland,Yes,1511.0
Templeton,Yes,1499.0
Halifax,Yes,1487.0
Marion,Yes,1487.0
Dover,No,1482.0
Rutland,Yes,1479.0
Rowley,Yes,1468.0
Merrimac,Yes,1467.0
Sunderland,No,1448.0
Shirley,Yes,1434.0
Ware,Yes,1413.0
West Brookfield,No,1411.0
Sherborn,Yes,1382.0
Princeton,No,1374.0
West Newbury,Yes,1363.0
Nahant,No,1357.0
Edgartown,Yes,1355.0
Brimfield,No,1355.0
Oak Bluffs,Yes,1354.0
Dighton,Yes,1350.0
Edgartown,No,1347.0
Williamsburg,No,1336.0
Williamstown,Yes,1324.0
West Bridgewater,Yes,1322.0
Mendon,Yes,1296.0
Provincetown,No,1296.0
Boxborough,Yes,1278.0
Sheffield,No,1268.0
Cheshire,No,1266.0
Tisbury,Yes,1261.0
Montague,Yes,1258.0
Wenham,No,1256.0
Adams,Yes,1252.0
Essex,No,1250.0
Tisbury,No,1245.0
Rochester,Yes,1242.0
Wellfleet,No,1231.0
Sherborn,No,1216.0
Dunstable,No,1215.0
Berkley,Yes,1203.0
Hopedale,Yes,1203.0
Northfield,No,1178.0
Great Barrington,Yes,1172.0
Ashburnham,Yes,1166.0
Wenham,Yes,1165.0
Orange,Yes,1155.0
Lanesborough,No,1155.0
Brookfield,No,1134.0
Granby,Yes,1120.0
Southampton,Yes,1119.0
Plympton,No,1114.0
Boylston,Yes,1104.0
Berlin,No,1096.0
Tyngsborough,No,1096.0
Ashby,No,1094.0
Hampden,Yes,1074.0
West Tisbury,Yes,1068.0
West Tisbury,No,1068.0
Hubbardston,Yes,1037.0
Millville,No,1015.0
Dalton,Yes,1009.0
Essex,Yes,998.0
Leverett,No,986.0
Provincetown,Yes,982.0
Hardwick,No,978.0
Wellfleet,Yes,972.0
Shutesbury,No,957.0
Nahant,Yes,947.0
Princeton,Yes,936.0
Barre,Yes,918.0
Lenox,Yes,912.0
Truro,No,894.0
Conway,No,885.0
Bernardston,No,878.0
Ashfield,No,873.0
Huntington,No,857.0
Lee,Yes,847.0
Hadley,Yes,840.0
Berlin,Yes,837.0
Oakham,No,832.0
