town,candidate,votes
Rockland,Trump,4285.0
North Reading,Clinton,4283.0
Milton,Trump,4281.0
Westport,Trump,4275.0
Fairhaven,Clinton,4259.0
Hanover,Trump,4248.0
Gardner,Clinton,4163.0
Foxborough,Trump,4157.0
Nantucket,Clinton,4144.0
East Longmeadow,Clinton,4086.0
Abington,Clinton,4075.0
East Bridgewater,Trump,4064.0
Somerville,Trump,4064.0
Bellingham,Trump,4056.0
Bellingham,Clinton,4027.0
Needham,Trump,4017.0
Holyoke,Trump,4014.0
Wilbraham,Trump,4009.0
Medway,Clinton,4e3
Abington,Trump,3989.0
North Reading,Trump,3986.0
Northbridge,Trump,3939.0
Auburn,Trump,3936.0
Everett,Trump,3932.0
Swansea,Clinton,3894.0
Watertown,Trump,3891.0
Boston,Stein,3878.0
Grafton,Trump,3872.0
Groton,Clinton,3863.0
Charlton,Trump,3855.0
Wilmington,Trump,3852.0
Winthrop,Trump,3851.0
Maynard,Clinton,3849.0
Mashpee,Trump,3839.0
Duxbury,Trump,3837.0
Fairhaven,Trump,3824.0
Brewster,Clinton,3813.0
Raynham,Trump,3800.0
Whitman,Trump,3800.0
Hudson,Trump,3770.0
Marblehead,Trump,3759.0
Dennis,Trump,3751.0
Wilbraham,Clinton,3742.0
Lynnfield,Trump,3739.0
North Adams,Clinton,3719.0
Southbridge,Clinton,3712.0
Clinton,Clinton,3707.0
Hanover,Clinton,3705.0
Uxbridge,Trump,3694.0
Hull,Clinton,3669.0
Seekonk,Clinton,3659.0
Winchester,Trump,3634.0
Kingston,Trump,3579.0
Oxford,Trump,3572.0
Webster,Trump,3570.0
Seekonk,Trump,3563.0
Rehoboth,Trump,3562.0
Gardner,Trump,3528.0
Lawrence,Trump,3517.0
Southborough,Clinton,3500.0
Kingston,Clinton,3471.0
Littleton,Clinton,3445.0
Longmeadow,Trump,3433.0
Millbury,Trump,3432.0
Whitman,Clinton,3379.0
Northbridge,Clinton,3376.0
Lakeville,Trump,3373.0
Raynham,Clinton,3316.0
Wilmington,Clinton,3291.0
Harwich,Trump,3290.0
Lexington,Trump,3278.0
Norwell,Clinton,3264.0
Cambridge,Trump,3262.0
Uxbridge,Clinton,3254.0
South Hadley,Trump,3254.0
Westwood,Trump,3203.0
Amesbury,Trump,3197.0
Carver,Trump,3192.0
Wellesley,Trump,3176.0
Tyngsborough,Trump,3163.0
East Bridgewater,Clinton,3157.0
Belchertown,Trump,3140.0
Millbury,Clinton,3138.0
Brookline,Trump,3137.0
Newburyport,Trump,3125.0
Hanson,Trump,3124.0
Lynnfield,Clinton,3122.0
Rockport,Clinton,3121.0
Webster,Clinton,3110.0
Belmont,Trump,3102.0
Pepperell,Trump,3096.0
Palmer,Trump,3083.0
Randolph,Trump,3070.0
Tyngsborough,Clinton,3058.0
Spencer,Trump,3044.0
Wrentham,Clinton,3025.0
Wrentham,Trump,2990.0
Ipswich,Trump,2964.0
Northborough,Trump,2959.0
Southwick,Trump,2956.0
Easthampton,Trump,2954.0
Medway,Trump,2945.0
Norfolk,Clinton,2929.0
Pepperell,Clinton,2929.0
Lunenburg,Clinton,2916.0
Holbrook,Clinton,2912.0
Hopkinton,Trump,2911.0
Williamstown,Clinton,2910.0
Lincoln,Clinton,2906.0
Cohasset,Clinton,2881.0
Sutton,Trump,2881.0
Great Barrington,Clinton,2877.0
Dudley,Trump,2865.0
Montague,Clinton,2858.0
Leicester,Trump,2825.0
Norwell,Trump,2819.0
Acushnet,Trump,2808.0
Lunenburg,Trump,2792.0
Rehoboth,Clinton,2768.0
Ashland,Trump,2751.0
Oxford,Clinton,2736.0
Westborough,Trump,2721.0
Clinton,Trump,2715.0
Charlton,Clinton,2708.0
Stow,Clinton,2704.0
Orleans,Clinton,2686.0
Douglas,Trump,2685.0
Middleton,Trump,2662.0
Freetown,Trump,2641.0
Hamilton,Clinton,2626.0
Millis,Clinton,2620.0
Southbridge,Trump,2582.0
Swampscott,Trump,2581.0
Townsend,Trump,2550.0
Holliston,Trump,2547.0
Acton,Trump,2536.0
Sturbridge,Clinton,2509.0
Carver,Clinton,2507.0
Sudbury,Trump,2479.0
Harvard,Clinton,2475.0
Palmer,Clinton,2475.0
Lakeville,Clinton,2464.0
Newbury,Clinton,2464.0
Norfolk,Trump,2455.0
Boxford,Clinton,2454.0
Hanson,Clinton,2430.0
Leicester,Clinton,2422.0
Sharon,Trump,2419.0
Adams,Clinton,2412.0
Medfield,Trump,2400.0
Sturbridge,Trump,2400.0
Chatham,Clinton,2395.0
Worcester,Johnson,2395.0
Holbrook,Trump,2385.0
Brewster,Trump,2370.0
Acushnet,Clinton,2358.0
Hull,Trump,2351.0
Rutland,Trump,2343.0
Athol,Trump,2329.0
Blackstone,Trump,2327.0
Georgetown,Clinton,2314.0
Winchendon,Trump,2310.0
Carlisle,Clinton,2302.0
Sterling,Trump,2302.0
Halifax,Trump,2293.0
Sutton,Clinton,2287.0
Upton,Clinton,2284.0
Spencer,Clinton,2265.0
Georgetown,Trump,2260.0
Lenox,Clinton,2252.0
Monson,Trump,2252.0
Manchester,Clinton,2244.0
Salisbury,Trump,2241.0
Bedford,Trump,2211.0
Eastham,Clinton,2202.0
Boxford,Trump,2194.0
Ware,Trump,2189.0
Plainville,Trump,2188.0
Dalton,Clinton,2185.0
Plainville,Clinton,2169.0
Ayer,Clinton,2162.0
Westminster,Trump,2162.0
Dighton,Trump,2149.0
West Bridgewater,Trump,2148.0
Middleton,Clinton,2141.0
West Boylston,Clinton,2137.0
Sterling,Clinton,2136.0
Groton,Trump,2133.0
Hadley,Clinton,2121.0
Dudley,Clinton,2109.0
Mattapoisett,Clinton,2102.0
Salisbury,Clinton,2094.0
Greenfield,Trump,2094.0
Provincetown,Clinton,2082.0
Townsend,Clinton,2082.0
Oak Bluffs,Clinton,2080.0
Athol,Clinton,2074.0
Topsfield,Clinton,2070.0
Dover,Clinton,2059.0
Templeton,Trump,2051.0
Rutland,Clinton,2020.0
Freetown,Clinton,2018.0
Boxborough,Clinton,1987.0
Lee,Clinton,1960.0
Concord,Trump,1948.0
Westminster,Clinton,1947.0
Deerfield,Clinton,1942.0
Groveland,Trump,1934.0
Monson,Clinton,1907.0
Berkley,Trump,1906.0
Tisbury,Clinton,1900.0
