"town","cl_yes_pct","charter_yes_pct","mj_yes_pct","TotalPop","PopDen","MedHouseIncome","PctYoung","PctCollege","PctFemale","PctWhite"
"abington",0.505332341269841,0.340403458213256,0.526557301824022,16196,1730.49482905984,77131.5852679674,0.428747838972586,0.303956805924767,0.562052358607064,0.916522598172388
"acton",0.781980742778542,0.409545127508194,0.519011406844107,23209,1192.64979889951,132892.515748201,0.390365806368219,0.774578663788077,0.497651773019087,0.708819854366841
"acushnet",0.456445993031359,0.356225572305974,0.511078286558346,10414,969.050517615416,72966.5121951219,0.378048780487805,0.200766300534118,0.505377376608412,0.925580948722873
"adams",0.652420881796051,0.313863123589872,0.5715,8266,1149.12134497616,49682.7140091943,0.376360996854585,0.226462609141312,0.511371884829422,0.963585773046213
"agawam",0.45549930295693,0.328158274369719,0.491867140513942,28701,1623.48162200271,63476.5882721856,0.381206229748092,0.287942976656513,0.523709975262186,0.878366607435281
"amesbury",0.615699002283928,0.344868995633188,0.58546126263175,17082,1676.6030390566,77041.5692541857,0.387132654255942,0.416983824037384,0.506556609296335,0.937829293993678
"amherst",0.907034607554852,0.223046246414329,0.744900790897738,25441,1394.654709018,54965.7278408868,0.640894618922212,0.676226179450304,0.503242797059864,0.730670964191659
"andover",0.629765102589015,0.448772763262074,0.459235568604834,34963,1743.61966249656,135274.053542316,0.416726253467952,0.732690347388979,0.52200898092269,0.790521408345966
"arlington",0.81338766946417,0.310542837455019,0.569559595344946,44408,9419.68095892544,101850.009412718,0.396437578814628,0.687360703676983,0.532629255989912,0.802445505314358
"ashburnham",0.485984464707869,0.349520383693046,0.570324115373179,6171,160.824270357612,86219,0.410144222978448,0.386162317452717,0.504294279695348,0.962404796629396
"ashby",0.425029515938607,0.416221985058698,0.600649350649351,3196,134.837548140181,89934,0.380788485607008,0.25374449339207,0.484981226533166,0.968085106382979
"ashfield",0.819607843137255,0.227433628318584,0.691123188405797,3392,43.6599544313936,80347,0.298938679245283,0.539453125,0.505306603773585,0.968455188679245
"ashland",0.67207056860174,0.345242033300254,0.519013698630137,17420,1626.54805340098,105737.794374282,0.415384615384615,0.571345552737009,0.514810562571756,0.809357060849598
"athol",0.471042471042471,0.351728320194057,0.5661853188929,11625,575.082749154087,48029.1956989247,0.403956989247311,0.175430424943538,0.516989247311827,0.915354838709678
"attleboro",0.549810575743023,0.352152921470096,0.568502548020384,44121,2655.94729291698,71793.0460778314,0.429296706783618,0.312910421444447,0.514788876045421,0.83760567530201
"auburn",0.528283796740173,0.295198512523242,0.505620429990178,16393,1268.23085285696,72238.9597389129,0.366009882266821,0.376201844256639,0.519551027877753,0.910266577197585
"avon",0.540086206896552,0.33955223880597,0.505945059450595,4476,1043.24547500766,68021,0.377122430741734,0.265383493729951,0.492627345844504,0.740616621983914
"ayer",0.590710382513661,0.443463330880549,0.584409257003654,7929,832.988318634497,77112,0.422373565392862,0.377823408624231,0.486820532223483,0.83163072266364
"barnstable",0.535827362106316,0.498102578146395,0.479069405539994,39482,1409.60170002582,62949.0321665569,0.361303885314827,0.346585747985418,0.516539182412238,0.872549516235246
"barre",0.456653992395437,0.318418314255983,0.576564120290356,5456,123.084475508188,67500,0.401576246334311,0.277092274678111,0.466275659824047,0.959677419354839
"becket",0.607486631016043,0.366733466933868,0.671219512195122,2247,26.7369471197487,72981,0.279038718291055,0.341870824053452,0.492211838006231,0.947930574098798
"bedford",0.696957236842105,0.41733486063383,0.470855412566238,14088,1045.72573440402,117536.608603066,0.398069278818853,0.676764216769287,0.492617830777967,0.750283929585463
"belchertown",0.581667998934186,0.264311814859927,0.542678440029433,14888,320.502504966082,82843.9672219237,0.410061794734014,0.432217407095872,0.514777001612037,0.913554540569587
"bellingham",0.498206111592231,0.386101694915254,0.566107797907055,16833,924.158971799217,92074.6933404622,0.426364878512446,0.28793463245282,0.499316818154815,0.926691617655795
"belmont",0.767379077615298,0.373416392524673,0.524941111265069,25555,7462.26173622227,115676.453101154,0.41549598904324,0.735567777449897,0.532694189004109,0.769242809626296
"berkley",0.428657074340528,0.338777809067868,0.544232922732363,6589,399.022761317727,95186,0.395507664288967,0.302216252518469,0.483229625132797,0.970556988920929
"berlin",0.575256556442417,0.433005690636317,0.547966631908238,3061,235.964710254436,97614,0.3453119895459,0.465359477124183,0.47860176412937,0.963737340738321
"bernardston",0.65018315018315,0.282679738562091,0.553745928338762,4507,81.8722913508453,66950,0.343243842911027,0.366399082568807,0.504326603061903,0.939427557133348
"beverly",0.654788195141538,0.368198529411765,0.551186131386861,40967,5098.74600180159,78502.5752190788,0.434496057802622,0.478574447327346,0.526155198086264,0.913784265384334
"billerica",0.493447630308405,0.369828456104945,0.522265357387531,42228,1713.65597778688,98978.0116747182,0.433314388557356,0.330261262770395,0.499123804111016,0.872122762148338
"blackstone",0.442901604022025,0.362379280070237,0.583133056587284,9068,829.98186182654,75114.1667401853,0.424239082487869,0.291622178319171,0.53253198059109,0.936479929422143
"blandford",0.387878787878788,0.330965909090909,0.575886524822695,7337,37.7438785735732,73594,0.365680795965654,0.279234058375162,0.488074144745809,0.961428376720731
"bolton",0.646053980184489,0.460930373973852,0.52475845410628,5113,256.267183396337,151023,0.392137688245648,0.68519057317428,0.521024838646587,0.905534911011148
"boston",0.851652194412793,0.384185337342764,0.624476500697999,657351,25686.4410189945,60610.513377176,0.558181245635893,0.455537631565507,0.52035670440906,0.453264694204466
"bourne",0.481134923030486,0.436148203874365,0.484196745838788,19796,814.078635380716,69514.9103859366,0.365983026874116,0.350161061344066,0.49171549808042,0.909022024651445
