"Dwyer, James",1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0.5,0,1,0,0,1
"Dykema, Carolyn",1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Ehrlich, Lori",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Farley-Bouvier, Tricia",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0
"Fennell, Robert",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
"Ferguson, Kimberly",0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
"Fernandes, John",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0.5,1,1,0,0,1,1
"Ferrante, Ann-Margaret",1,0,0,0,1,0,0,0,0,0,1,0.5,1,1,0,1,0,1,1,0,0,1,1
"Finn, Michael",1,0,0,0,1,0,0,0,0,0,0.5,0,1,1,0,1,0,1,0,1,0,1,1
"Fiola, Carole",1,0.5,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1
"Fox, Gloria",0.5,0.5,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0.5,1,0,0,0.5,0
"Frost, Paul",0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
"Galvin, William",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0.5,1
"Garballey, Sean",1,0,0,0,1,0,0,0,0,1,1,1,0.5,1,0,1,0,0,1,0,0,1,1
"Garlick, Denise",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.5,0,0,1,1
"Garry, Colleen",1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0.5,0,1
"Gentile, Carmine",1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0
"Gifford, Susan",0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
"Golden, Thomas",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1
"Gonzalez, Carlos",1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
