0.70,"Donato, Paul",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0
0.26,"Dooley, Shawn",(R),0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.83,"Dubois, Michelle",(D),1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,NA,1,1
0.22,"Durant, Peter",(R),0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0.39,"Dwyer, James",(D),1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,NA,0,0,1,0,0
0.83,"Dykema, Carolyn",(D),1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.78,"Ehrlich, Lori",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.91,"Farley-Bouvier, Tricia",(D),1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0.78,"Fennell, Robert",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
0.26,"Ferguson, Kimberly",(R),0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.70,"Fernandes, John",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,NA,0,1,1,1,1,0
0.74,"Ferrante, Ann-Margaret",(D),1,0,1,1,1,1,1,1,1,0,1,NA,0,1,1,1,1,0,1,1,1,1,0
0.61,"Finn, Michael",(D),1,0,1,1,1,1,1,1,1,0,NA,0,0,1,1,1,1,0,0,0,1,1,0
0.65,"Fiola, Carole",(D),1,NA,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0
0.70,"Fox, Gloria",(D),NA,NA,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,NA,1,1,1,NA,1
0.22,"Frost, Paul",(R),0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.70,"Galvin, William",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,NA,0
0.87,"Garballey, Sean",(D),1,0,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0
0.74,"Garlick, Denise",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,NA,1,1,1,0
0.30,"Garry, Colleen",(D),1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,NA,0,0
0.91,"Gentile, Carmine",(D),1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0.17,"Gifford, Susan",(R),0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.70,"Golden, Thomas",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0
0.78,"Gonzalez, Carlos",(D),1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1
