Incident_Num,Shooting_Date,DISTRICT,Shooting_Type_V2,Victim_Gender,Victim_Race,Victim_Ethnicity_NIBRS,Multi_Victim
I152038380-00,5/10/2015 13:40,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037866-00,5/8/2015 11:44,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037218-00,5/7/2015 4:00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152037334-00,5/7/2015 13:31,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152038963-00,5/12/2015 18:39,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152039988-00,5/15/2015 23:47,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152040876-00,5/18/2015 21:21,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152041419-00,5/20/2015 11:09,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152041784-00,5/21/2015 17:56,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152041857-00,5/21/2015 21:00,B3,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,f
I152042211-00,5/23/2015 0:50,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152042681-00,5/24/2015 16:16,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152042637-00,5/24/2015 16:16,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152042638-00,5/24/2015 16:23,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152042765-00,5/25/2015 1:15,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152043193-00,5/26/2015 13:33,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152044761-00,5/30/2015 19:22,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152044549-00,5/30/2015 2:48,A1,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152044413-00,5/29/2015 18:00,A7,Non-Fatal,Female,White,Hispanic or Latinx,f
I152045258,6/1/2015 14:42,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152047934,6/10/2015 5:06,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152048250,6/10/2015 23:44,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152048254,6/10/2015 23:44,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152048199,6/10/2015 19:53,B3,Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152048592,6/12/2015 4:13,D4,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152048902,6/13/2015 0:42,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152049143,6/13/2015 20:40,E13,Non-Fatal,Male,White,Hispanic or Latinx,f
I152050036,6/16/2015 20:41,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152050036,6/16/2015 20:41,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152050036,6/16/2015 20:41,B2,Non-Fatal,Male,Asian,Not Hispanic or Latinx,t
I152050961,6/19/2015 21:20,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152051161,6/20/2015 16:00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152052391,6/24/2015 19:44,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152052766,6/26/2015 2:08,B2,Non-Fatal,Male,Black or African American,Hispanic or Latinx,f
I152052674,6/25/2015 18:28,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152053353,6/27/2015 23:41,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152053302,6/27/2015 19:38,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152053337,6/27/2015 22:59,E13,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152054324,7/1/2015 14:30,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
I152054787,7/2/2015 23:08,B2,Fatal,Male,Black or African American,Hispanic or Latinx,t
I152054787,7/2/2015 23:08,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152054740,7/2/2015 18:23,B3,Non-Fatal,Male,Black or African American,Hispanic or Latinx,t
I152054740,7/2/2015 18:23,B3,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
I152055092,7/4/2015 1:36,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152055092,7/4/2015 1:36,C11,Non-Fatal,Male,White,Hispanic or Latinx,t
I152055102,7/4/2015 2:19,E13,Non-Fatal,Male,White,Hispanic or Latinx,t
