service_date,mode,route_or_line,total_monthly_weekday_ridership,average_monthly_weekday_ridersh,countofdates_weekday,total_monthly_ridership,average_monthly_ridership,countofdates,ObjectId
2019/07/01 04:00:00+00,Bus,Bus,7373078,335140,22,8653636,279150,31,553
2019/07/01 04:00:00+00,Commuter Rail,Commuter Rail,2620848,119129,22,2669884,86125,31,554
2019/07/01 04:00:00+00,Rail,Green Line,3892447,176929,22,4756652,153440,31,555
2019/07/01 04:00:00+00,Rail,Orange Line,4531760,205989,22,5349369,172560,31,556
2019/07/01 04:00:00+00,Rail,Red Line,5316151,241643,22,6244392,201432,31,557
2019/07/01 04:00:00+00,Bus,Silver Line,825192,37509,22,1024590,33051,31,558
2019/07/01 04:00:00+00,The RIDE,The RIDE,127159,5780,22,200568,6470,31,559
2019/08/01 04:00:00+00,Rail,Blue Line,1567310,71241,22,1939732,62572,31,560
2019/08/01 04:00:00+00,Ferry,Boat-F1,89914,4087,22,,,31,561
2019/08/01 04:00:00+00,Ferry,Boat-F3,44407,2018,22,,,31,562
2019/08/01 04:00:00+00,Ferry,Boat-F4,35084,1594,22,,,31,563
2019/08/01 04:00:00+00,Bus,Bus,7273030,330592,22,8720653,281311,31,564
2019/08/01 04:00:00+00,Commuter Rail,Commuter Rail,2646170,120280,22,2800661,90344,31,565
2019/08/01 04:00:00+00,Rail,Green Line,3721480,169158,22,4552193,146845,31,566
2019/08/01 04:00:00+00,Rail,Orange Line,4422812,201037,22,5220010,168387,31,567
2019/08/01 04:00:00+00,Rail,Red Line,5191133,235961,22,6146414,198271,31,568
2019/08/01 04:00:00+00,Bus,Silver Line,823813,37446,22,1014331,32720,31,569
2019/08/01 04:00:00+00,The RIDE,The RIDE,126310,5741,22,202987,6548,31,570
2019/09/01 04:00:00+00,Rail,Blue Line,1785460,89273,20,2231467,74382,30,571
2019/09/01 04:00:00+00,Ferry,Boat-F1,83662,4183,20,,,30,572
2019/09/01 04:00:00+00,Ferry,Boat-F3,27009,1350,20,,,30,573
2019/09/01 04:00:00+00,Ferry,Boat-F4,24600,1230,20,,,30,574
2019/09/01 04:00:00+00,Bus,Bus,7479428,373971,20,8969616,298987,30,575
2019/09/01 04:00:00+00,Commuter Rail,Commuter Rail,2416473,120823,20,2553903,85130,30,576
2019/09/01 04:00:00+00,Rail,Green Line,4602136,230107,20,5815815,193861,30,577
2019/09/01 04:00:00+00,Rail,Orange Line,4577476,228874,20,5461798,182060,30,578
2019/09/01 04:00:00+00,Rail,Red Line,5604684,280234,20,6805792,226860,30,579
2019/09/01 04:00:00+00,Bus,Silver Line,738886,36944,20,933957,31132,30,580
2019/09/01 04:00:00+00,The RIDE,The RIDE,121197,6059,20,158647,5288,30,581
2019/10/01 04:00:00+00,Rail,Blue Line,1691316,73536,23,1970114,63552,31,582
2019/10/01 04:00:00+00,Ferry,Boat-F1,87597,3808,23,,,31,583
2019/10/01 04:00:00+00,Ferry,Boat-F3,25642,1114,23,,,31,584
2019/10/01 04:00:00+00,Ferry,Boat-F4,22783,990,23,,,31,585
2019/10/01 04:00:00+00,Bus,Bus,8528799,370817,23,9744683,314345,31,586
2019/10/01 04:00:00+00,Commuter Rail,Commuter Rail,2792281,121403,23,2911497,93919,31,587
2019/10/01 04:00:00+00,Rail,Green Line,4216443,183324,23,4912502,158468,31,588
2019/10/01 04:00:00+00,Rail,Orange Line,5021374,218321,23,5258164,169618,31,589
2019/10/01 04:00:00+00,Rail,Red Line,6006022,261131,23,6840325,220656,31,590
2019/10/01 04:00:00+00,Bus,Silver Line,894937,38910,23,1071939,34579,31,591
2019/10/01 04:00:00+00,The RIDE,The RIDE,138048,6002,23,146004,4710,31,592
2019/04/01 04:00:00+00,Bus,Bus,7625719,346624,22,8801806,293394,30,593
2019/04/01 04:00:00+00,Commuter Rail,Commuter Rail,2651110,120505,22,2689704,89657,30,594
2019/04/01 04:00:00+00,Rail,Green Line,4081866,185539,22,4951833,165061,30,595
2019/04/01 04:00:00+00,Rail,Orange Line,4492199,204191,22,5225079,174169,30,596
2019/04/01 04:00:00+00,Rail,Red Line,5373010,244228,22,6185664,206189,30,597
2019/04/01 04:00:00+00,Bus,Silver Line,823061,37412,22,995353,33178,30,598
2019/04/01 04:00:00+00,The RIDE,The RIDE,133432,6065,22,157672,5256,30,599
2019/05/01 04:00:00+00,Rail,Blue Line,1510954,68680,22,1858843,59963,31,600
2019/05/01 04:00:00+00,Ferry,Boat-F1,75512,3432,22,,,31,601
2019/05/01 04:00:00+00,Ferry,Boat-F3,26476,1203,22,,,31,602
2019/05/01 04:00:00+00,Ferry,Boat-F4,21558,979,22,,,31,603
2019/05/01 04:00:00+00,Bus,Bus,7818186,355372,22,9148123,295100,31,604
2019/05/01 04:00:00+00,Commuter Rail,Commuter Rail,2536088,115277,22,2702198,87168,31,605
2019/05/01 04:00:00+00,Rail,Green Line,3906508,177569,22,4789714,154507,31,606
2019/05/01 04:00:00+00,Rail,Orange Line,4528759,205853,22,5354899,172739,31,607
2019/05/01 04:00:00+00,Rail,Red Line,5408480,245840,22,6382519,205888,31,608
2019/05/01 04:00:00+00,Bus,Silver Line,850390,38654,22,1054740,34024,31,609
2019/05/01 04:00:00+00,The RIDE,The RIDE,136602,6209,22,162453,5240,31,610
2019/06/01 04:00:00+00,Rail,Blue Line,1418953,70948,20,1812668,60422,30,611
2019/06/01 04:00:00+00,Ferry,Boat-F1,82854,4142,20,,,30,612
2020/08/01 04:00:00+00,Rail,Orange Line,1016512,48405,21,1297100,41842,31,613
2020/08/01 04:00:00+00,Rail,Red Line,1046554,49836,21,1344955,43386,31,614
2020/08/01 04:00:00+00,Bus,Silver Line,280177,13342,21,385679,12441,31,615
2020/08/01 04:00:00+00,The RIDE,The RIDE,40673,1937,21,55066,1776,31,616
2020/09/01 04:00:00+00,Rail,Blue Line,534461,25451,21,700927,23364,30,617
2020/09/01 04:00:00+00,Ferry,Boat-F1,5862,279,21,,,30,618
2020/09/01 04:00:00+00,Ferry,Boat-F3,6601,314,21,,,30,619
2020/09/01 04:00:00+00,Ferry,Boat-F4,4071,193,21,,,30,620
2020/09/01 04:00:00+00,Bus,Bus,3290778,156704,21,4099515,136651,30,621
2020/09/01 04:00:00+00,Commuter Rail,Commuter Rail,597750,25989,23,345989,11533,30,622
2020/09/01 04:00:00+00,Rail,Green Line,851311,40539,21,1175541,39185,30,623
2020/09/01 04:00:00+00,Rail,Orange Line,1180446,56212,21,1511845,50395,30,624
2020/09/01 04:00:00+00,Rail,Red Line,1196531,56978,21,1541776,51393,30,625
